booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
NH74221389994302,2025-03-08T14:46:04.507,2025-03-08T14:47:00.192,0 years 0 mons 0 days 0 hours 0 mins 55.685 secs,55.685000
GXM250308I5VBCIMF,2025-03-08T14:48:06.036,2025-03-08T14:49:00.124,0 years 0 mons 0 days 0 hours 0 mins 54.088 secs,54.088000
GXM250308VLA3BGME,2025-03-08T16:58:56.551,2025-03-08T16:59:00.135,0 years 0 mons 0 days 0 hours 0 mins 3.584 secs,3.584000
GXM250308TRDXKOXI,2025-03-08T17:04:41.431,2025-03-08T17:05:00.133,0 years 0 mons 0 days 0 hours 0 mins 18.702 secs,18.702000
HMQRH9S3NW,2025-03-08T18:22:39.476,2025-03-08T18:23:00.16,0 years 0 mons 0 days 0 hours 0 mins 20.684 secs,20.684000
HMDJYSBFPP,2025-03-08T18:24:33.09,2025-03-08T18:25:00.143,0 years 0 mons 0 days 0 hours 0 mins 27.053 secs,27.053000
GXM250309XBEPSHXQ,2025-03-09T14:56:04.655,2025-03-09T14:57:00.196,0 years 0 mons 0 days 0 hours 0 mins 55.541 secs,55.541000
GXM250309TYJN_5TN,2025-03-09T17:53:50.263,2025-03-09T17:54:00.163,0 years 0 mons 0 days 0 hours 0 mins 9.90 secs,9.900000
GXM250310EIEX-TZI,2025-03-10T10:29:46.647,2025-03-10T10:30:00.382,0 years 0 mons 0 days 0 hours 0 mins 13.735 secs,13.735000
GXM250310RRXCPLPV,2025-03-10T09:06:55.261,2025-03-10T10:31:00.206,0 years 0 mons 0 days 1 hours 24 mins 4.945 secs,5044.945000
GXM250310YMHGLQVL,2025-03-10T09:07:53.486,2025-03-10T10:31:00.29,0 years 0 mons 0 days 1 hours 23 mins 6.804 secs,4986.804000
GXM250310DXPQ_0M1,2025-03-10T09:09:09.731,2025-03-10T10:31:00.357,0 years 0 mons 0 days 1 hours 21 mins 50.626 secs,4910.626000
GXM250310FSCSCXQJ,2025-03-10T09:04:44.518,2025-03-10T10:32:00.195,0 years 0 mons 0 days 1 hours 27 mins 15.677 secs,5235.677000
GXM250310RRLR1GJ9,2025-03-10T09:05:55.876,2025-03-10T10:32:00.246,0 years 0 mons 0 days 1 hours 26 mins 4.37 secs,5164.370000
GXM250310UD6YYAB6,2025-03-10T10:38:55.752,2025-03-10T10:39:00.137,0 years 0 mons 0 days 0 hours 0 mins 4.385 secs,4.385000
